"data_d","","","","","","",""
19,536769,20694,450152,19150,4249,4953,1960153
40,526875,20615,450817,18123,7464,7553,1890323
30,531832,20552,453186,18878,5795,5687,1870890
22,546002,24711,474253,20633,10218,10518,2077441
32,433960,21385,319600,15826,6999,6741,1884687
20,385370,23381,249729,17181,9122,11396,1662859
29,547602,22796,471503,20536,6673,7696,2041223
35,547429,21841,461393,18904,5471,6000,1911081
51,551279,21167,462976,18064,7662,7869,1946675
31,542903,21570,464079,17859,6486,6398,1945198
44,544022,25066,471928,20786,10974,10987,2078132
51,447075,21812,316761,15570,7864,7581,1842177
42,372055,22386,252468,16362,9714,11907,1619098
22,519094,22312,440818,17654,6949,8152,1923774
36,519426,20806,428149,15833,5072,6055,1822197
53,546310,20588,447149,15593,6994,7549,1873645
57,549137,19426,432009,15343,6791,6332,1923601
61,542588,22395,430182,16771,7927,7368,1931529
41,432771,19464,266873,12573,6017,5746,1649828
44,358433,20176,206350,12323,6981,8351,1398656
50,533059,19907,417292,15898,5478,5701,1863287
57,506670,18975,393053,13672,4211,4267,1766508
54,508473,17828,393052,13427,5177,5038,1748922
75,505692,17507,377062,13059,4641,4048,1747277
72,489767,17845,374458,14451,7712,5958,1870522
91,369755,15299,208929,10180,4658,3802,1427038
86,304172,15756,162592,8694,5922,5940,1158452
80,409359,13993,293722,10951,2533,2562,1525235
56,397469,10181,266044,9615,1809,1745,1473921
87,391926,10015,267376,9317,2333,1906,1467706
98,401567,9424,274109,9304,1795,1888,1486614
67,399077,9801,274461,9599,2387,2567,1546249
141,314822,9121,159177,6918,1650,1673,1295276
101,259939,8059,123562,6664,2967,3141,1044306
81,405518,9264,276526,9564,1992,2242,1517743
80,371261,8498,241001,8908,2927,2927,1484244
108,355104,2066,232168,7945,2,110,1382041
87,353382,920,224525,8135,0,81,1399249
114,342721,1534,231598,8679,2,111,1505101
119,233330,1197,117362,5900,5,95,1227890
129,209073,870,93103,5350,1,98,991998
87,257658,980,140237,6046,1,122,1202658
118,331948,1033,223155,7444,2,98,1440424
133,213896,871,103704,5479,5,325,1136665
165,342573,1054,231122,7811,0,55,1484579
117,348148,1046,235216,8179,10,170,1541537
178,268403,954,132064,6105,0,24,1271731
133,231221,838,100588,6343,3,387,1037063
178,363297,1070,243831,9116,6,300,1511331
147,356111,1243,231584,8247,8,58,1377477
188,348404,2012,227799,7568,8,128,1433215
160,350668,2360,223844,7558,8,184,1433037
191,354588,2492,228487,7802,3,37,1486593
212,257625,2209,143216,6098,2,59,1276650
138,224964,2173,105397,5585,0,112,1011641
149,354626,2589,239879,8086,1,28,1485506
235,356796,2401,240637,7891,1,98,1457383
207,348080,2441,243401,8148,9,3,1543143
147,215806,2075,113452,5589,3,154,1220696
184,332041,2897,241634,7699,8,19,1495288
217,268752,2152,136185,6096,0,142,1358047
209,198644,2039,112405,5881,8,251,1137372
182,358043,2664,251082,8490,2,43,1557972
239,352172,2613,242100,8307,1,128,1487341
312,357153,2511,245774,8468,10,209,1490656
301,354622,2498,242233,8174,1,131,1471178
240,370178,3168,251152,8697,9,163,1641287
261,280540,2241,143590,6745,2,0,1367611
233,220667,2425,107611,6421,6,178,1094242
242,338725,2663,252144,9013,10,3,1582700
226,373548,2596,247301,8640,10,196,1479293
297,382276,2543,254082,8716,6,116,1547853
229,372501,2656,247858,8931,12,212,1530522
273,365650,2953,256001,9312,18,173,1630796
292,284163,2395,146337,7334,0,43,1390894
264,240034,2597,119243,7106,1,89,1157696
256,397779,3031,279588,9700,72,29,1631114
190,398160,2928,280344,9351,12,115,1581025
252,425696,6451,332847,9455,1999,2777,1661457
262,428955,7344,328090,10008,1664,2216,1648659
271,436635,8469,345031,10621,3699,3977,1741938
257,369234,7478,266469,8870,2763,2705,1606636
224,309182,8340,202470,8978,3628,4337,1309260
