"data_i","","","","","",""
3000,-10,16,-33,-48,-15,4
2331,-11,14,-35,-49,-16,4
3129,-11,13,-34,-49,-16,4
3058,-14,12,-36,-51,-15,5
3667,-14,10,-41,-51,0,2
3682,-13,10,-34,-52,-7,3
3175,-12,11,-33,-49,-17,3
4059,-13,10,-34,-50,-18,3
3174,-13,8,-35,-50,-18,4
4108,-14,7,-35,-49,-17,4
3644,-14,11,-37,-50,-16,5
4161,-14,9,-42,-50,-2,3
3995,-14,9,-36,-52,-7,3
5406,-18,6,-38,-52,-17,5
4662,-18,6,-38,-53,-19,5
4786,-15,13,-38,-51,-19,4
5533,-9,23,-35,-48,-16,4
6087,-11,26,-36,-50,-15,5
6230,-11,25,-42,-50,1,3
5916,-10,25,-35,-52,-5,4
6166,-8,25,-32,-48,-15,4
5420,-12,20,-36,-51,-17,6
6519,-10,21,-35,-50,-17,6
7058,-13,20,-37,-51,-16,6
9276,-18,20,-42,-53,-16,8
9326,-21,17,-50,-55,-1,7
9539,-20,19,-45,-57,-7,7
8656,-16,18,-37,-55,-19,7
8685,-19,15,-37,-57,-21,8
9317,-19,14,-39,-57,-21,9
9186,-19,15,-40,-56,-20,9
9692,-20,18,-41,-58,-20,10
10082,-23,15,-49,-58,-2,7
11397,-23,16,-43,-60,-8,7
11784,-18,17,-39,-56,-20,8
11305,-22,15,-40,-58,-24,10
13002,-23,12,-40,-60,-25,10
13655,-25,9,-42,-60,-24,11
14575,-27,14,-46,-62,-24,12
14260,-33,5,-56,-65,-21,12
15335,-33,6,-50,-67,-18,11
15376,-23,12,-42,-65,-43,15
14150,-23,13,-41,-61,-29,11
16533,-26,8,-42,-69,-57,19
17669,-26,8,-44,-61,-24,11
17345,-28,11,-47,-62,-24,13
18912,-29,12,-53,-62,-7,9
18027,-28,15,-47,-63,-13,9
17970,-23,14,-42,-60,-24,10
18901,-25,11,-44,-61,-27,11
20200,-26,8,-43,-61,-27,11
20920,-28,6,-45,-61,-26,12
21379,-30,8,-46,-63,-26,13
21838,-31,6,-52,-62,-9,10
19983,-32,6,-48,-65,-14,9
19603,-26,7,-43,-61,-25,10
19843,-26,9,-42,-60,-27,11
21038,-28,4,-44,-61,-28,11
22782,-24,11,-41,-67,-58,18
23418,-32,2,-48,-64,-28,14
22086,-34,0,-55,-64,-11,11
21882,-35,1,-51,-65,-15,10
21157,-27,7,-44,-60,-26,11
20128,-26,8,-43,-60,-28,11
20515,-27,5,-43,-60,-27,11
20902,-29,2,-45,-61,-27,11
19851,-30,5,-47,-62,-26,13
20571,-31,5,-53,-62,-11,9
19014,-35,-1,-48,-66,-15,9
17491,-27,4,-43,-61,-25,10
17165,-27,4,-44,-61,-27,10
18417,-27,3,-44,-60,-27,11
18501,-28,2,-45,-60,-27,11
18702,-31,4,-49,-62,-26,13
17984,-31,3,-53,-62,-10,10
16536,-30,4,-47,-63,-15,9
15972,-25,6,-43,-58,-24,10
14666,-23,10,-44,-57,-25,10
9225,-17,11,-42,-54,-24,9
20533,-16,11,-42,-54,-24,9
14653,-18,11,-44,-56,-23,10
15942,-19,7,-47,-55,-7,7
15452,-16,12,-39,-57,-12,6
